substancename,nonproprietaryname,proprietaryname,labelername,producttypename,dosageformname,routename,marketingcategoryname,active_numerator_strength,active_ingred_unit
AMPICILLIN SODIUM,AMPICILLIN SODIUM,AMPICILLIN,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,250,mg
CEFEPIME HYDROCHLORIDE,Cefepime,MAXIPIME,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,1,g
CEFTAZIDIME,CEFTAZIDIME,TAZICEF,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,1,g
MEROPENEM,MEROPENEM,Meropenem,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,500,mg
AZITHROMYCIN MONOHYDRATE,AZITHROMYCIN MONOHYDRATE,Azithromycin,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,2,mg
BIVALIRUDIN,BIVALIRUDIN,Bivalirudin,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,250,mg
DAPTOMYCIN,DAPTOMYCIN,Daptomycin,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,500,mg
ERYTHROMYCIN LACTOBIONATE,ERYTHROMYCIN LACTOBIONATE,Erythrocin Lactobionate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,500,mg
HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE SODIUM SUCCINATE,A-HYDROCORT,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,100,mg
INDOMETHACIN SODIUM,Indomethacin,Indomethacin,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,1,mg
PENTOSTATIN,PENTOSTATIN,Nipent,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,2,mg
ADENOSINE,ADENOSINE,Adenosine,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,3,mg
ALFENTANIL HYDROCHLORIDE,ALFENTANIL HYDROCHLORIDE,ALFENTANIL HYDROCHLORIDE,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,500,ug
AMINOCAPROIC ACID,AMINOCAPROIC ACID,Aminocaproic Acid,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,250,mg
AMINOPHYLLINE DIHYDRATE,Aminophylline,Aminophylline,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,25,mg
ATRACURIUM BESYLATE,ATRACURIUM BESYLATE,Atracurium Besylate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,10,mg
ATROPINE SULFATE,ATROPINE SULFATE,Atropine Sulfate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,ENDOTRACHEAL,NDA,0.1,mg
BUMETANIDE,BUMETANIDE,Bumetanide,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,0.25,mg
BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Bupivacaine Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,EPIDURAL,ANDA,2.5,mg
BUPRENORPHINE HYDROCHLORIDE,Buprenorphine Hydrochloride,Buprenorphine Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,0.3,mg
CALCIUM CHLORIDE,CALCIUM CHLORIDE,Calcium Chloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,100,mg
CHROMIC CHLORIDE,Chromic Chloride,Chromium,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,4,ug
CUPRIC CHLORIDE,CUPRIC CHLORIDE,COPPER,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,0.4,mg
CYTARABINE,CYTARABINE,CYTARABINE,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,20,mg
DESMOPRESSIN ACETATE,Desmopressin Acetate,Desmopressin Acetate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,4,ug
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Precedex,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,4,ug
DEXTRAN 40,DEXTRAN 40,LMD in Dextrose,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,10,g
DIAZEPAM,DIAZEPAM,Diazepam,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,5,mg
DICLOFENAC SODIUM,DICLOFENAC SODIUM,Dyloject,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,37.5,mg
DILTIAZEM HYDROCHLORIDE,Diltiazem Hydrochloride,Diltiazem Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,5,mg
DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,Diphenhydramine Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,50,mg
DOBUTAMINE HYDROCHLORIDE,DOBUTAMINE HYDROCHLORIDE,DOBUTamine,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,12.5,mg
DOCETAXEL,DOCETAXEL,Docetaxel,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,20,mg
DOCETAXEL ANHYDROUS,DOCETAXEL ANHYDROUS,Docetaxel,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,10,mg
DROPERIDOL,DROPERIDOL,Droperidol,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,2.5,mg
ENALAPRILAT,ENALAPRILAT,ENALAPRILAT,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,1.25,mg
EPINEPHRINE,EPINEPHRINE,Epinephrine,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,ENDOTRACHEAL,UNAPPROVED DRUG OTHER,0.1,mg
ETOMIDATE,etomidate,AMIDATE,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,2,mg
FENOLDOPAM MESYLATE,FENOLDOPAM MESYLATE,Corlopam,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,10,mg
FENTANYL CITRATE,FENTANYL CITRATE,Fentanyl Citrate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,50,ug
FUROSEMIDE,FUROSEMIDE,Furosemide,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,10,mg
GEMCITABINE HYDROCHLORIDE,GEMCITABINE,Gemcitabine,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,38,mg
HETASTARCH,HETASTARCH,Hextend,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,6,g
HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE,Hydromorphone Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,NDA,1,mg
ISOLEUCINE,ISOLEUCINE,Aminosyn II with Electrolytes,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,561,mg
KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Ketorolac Tromethamine,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,30,mg
LABETALOL HYDROCHLORIDE,Labetalol Hydrochloride,Labetalol Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,5,mg
LIDOCAINE HYDROCHLORIDE,lidocaine hydrochloride and dextrose,Lidocaine Hydrochloride and Dextrose,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRASPINAL,ANDA,50,mg
LORAZEPAM,LORAZEPAM,Lorazepam,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,4,mg
MAGNESIUM SULFATE HEPTAHYDRATE,magnesium sulfate,Magnesium Sulfate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,500,mg
MANGANESE CHLORIDE,MANGANESE CHLORIDE,MANGANESE,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,0.1,mg
MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE,DEMEROL,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,NDA,25,mg
METOCLOPRAMIDE HYDROCHLORIDE,metoclopramide,Metoclopramide,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,5,mg
MIDAZOLAM HYDROCHLORIDE,MIDAZOLAM HYDROCHLORIDE,Midazolam Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,1,mg
MORPHINE SULFATE,MORPHINE SULFATE,Morphine Sulfate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,NDA,2,mg
NALBUPHINE HYDROCHLORIDE,NALBUPHINE HYDROCHLORIDE,Nalbuphine Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,10,mg
NALOXONE HYDROCHLORIDE,NALOXONE HYDROCHLORIDE,Naloxone Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,0.4,mg
NITROGLYCERIN,NITROGLYCERIN,Nitroglycerin in Dextrose,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,200,ug
PANCURONIUM BROMIDE,Pancuronium Bromide,Pancuronium Bromide,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,1,mg
PENTAZOCINE LACTATE,PENTAZOCINE LACTATE,Talwin,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,NDA,30,mg
PHENYTOIN SODIUM,PHENYTOIN SODIUM,Phenytoin Sodium,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,50,mg
PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,Procainamide Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,100,mg
ROPIVACAINE HYDROCHLORIDE,ROPIVACAINE HYDROCHLORIDE,Ropivacaine Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,EPIDURAL,ANDA,2,mg
SODIUM BICARBONATE,SODIUM BICARBONATE,Sodium Bicarbonate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,75,mg
SUCCINYLCHOLINE CHLORIDE,Succinylcholine Chloride,Quelicin,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,NDA,20,mg
SUFENTANIL CITRATE,SUFENTANIL CITRATE,Sufentanil Citrate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,EPIDURAL,ANDA,50,ug
THEOPHYLLINE ANHYDROUS,theophylline in dextrose,Theophylline in Dextrose,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,160,mg
TOBRAMYCIN SULFATE,TOBRAMYCIN SULFATE,Tobramycin in Sodium Chloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,0.8,mg
TROMETHAMINE,TROMETHAMINE,THAM,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,3.6,g
VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,Verapamil Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,2.5,mg
ZINC CHLORIDE,ZINC CHLORIDE,ZINC,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,1,mg
SODIUM CHLORIDE,Sodium Chloride,Sodium Chloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,NDA,None,None
AMMONIUM CHLORIDE,AMMONIUM CHLORIDE,Ammonium Chloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,5,meq
CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,Clindamycin,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,150,mg
DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Precedex,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,100,ug
DEXTROSE MONOHYDRATE,dextrose monohydrate,Dextrose,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,10,g
DOBUTAMINE HYDROCHLORIDE,DOBUTAMINE HYDROCHLORIDE,DOBUTAMINE HYDROCHLORIDE,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,12.5,mg
DOPAMINE HYDROCHLORIDE,Dopamine Hydrochloride,DOPamine Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,80,mg
GENTAMICIN SULFATE,GENTAMICIN SULFATE,Gentamicin Sulfate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,ANDA,10,mg
KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,Ketamine Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,ANDA,100,mg
LYSINE ACETATE,LYSINE ACETATE,Novamine,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,1.18,g
MORPHINE SULFATE,MORPHINE SULFATE,Morphine Sulfate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,UNAPPROVED DRUG OTHER,50,mg
NOREPINEPHRINE BITARTRATE,Norepinephrine bitartrate,Levophed,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,1,mg
POTASSIUM ACETATE,POTASSIUM ACETATE,Potassium Acetate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,196.3,mg
POTASSIUM PHOSPHATE,POTASSIUM PHOSPHATE,Potassium Phosphates,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,UNAPPROVED DRUG OTHER,224,mg
SODIUM ACETATE ANHYDROUS,sodium acetate,Sodium Acetate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,164,mg
SODIUM CHLORIDE,SODIUM CHLORIDE,Sodium Chloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,2.92,g
SODIUM LACTATE,SODIUM LACTATE,Sodium Lactate,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,5.6,g
TOPOTECAN HYDROCHLORIDE,TOPOTECAN,Topotecan,Hospira Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,1,mg
RETINOL,retinol,M.V.I. Adult,Hospira Inc.,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,NDA,None,None
DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,Diltiazem Hydrochloride,Hospira Inc.,HUMAN PRESCRIPTION DRUG,POWDER,INTRAVENOUS,ANDA,100,mg
ACETYLCYSTEINE,ACETYLCYSTEINE,Acetylcysteine,Hospira Inc.,HUMAN PRESCRIPTION DRUG,SOLUTION,ORAL,ANDA,100,mg
ASCORBIC ACID,ascorbic acid,M.V.I. Pediatric,Hospira Worldwide Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,80,mg
VITAMIN A PALMITATE,VITAMIN A PALMITATE,AQUASOL A,Hospira Worldwide Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAMUSCULAR,NDA,15,mg
RETINOL,RETINOL,MULTI VITAMIN INFUSION,Hospira Worldwide Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,NDA,1,mg
FLUORESCEIN SODIUM,Fluorescein Sodium,BioGlo,HUB Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,STRIP,OPHTHALMIC,UNAPPROVED DRUG OTHER,1,mg
LIGHT GREEN SF YELLOWISH,Lissamine Green,GreenGlo,HUB Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,STRIP,OPHTHALMIC,UNAPPROVED DRUG OTHER,1.5,mg
ROSE BENGAL SODIUM,Rose Bengal,RoseGlo,HUB Pharmaceuticals Inc.,HUMAN PRESCRIPTION DRUG,STRIP,OPHTHALMIC,UNAPPROVED DRUG OTHER,1.5,mg
INDOCYANINE GREEN AND WATER,Indocyanine Green and Water,Indocyanine Green,HUB Pharmaceuticals LLC,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,ANDA,None,None
HYPROMELLOSE 2910 (4000 MPA.S),Hypromellose 2910 (4000 MPA.S),Goniovisc,HUB Pharmaceuticals LLC,HUMAN OTC DRUG,SOLUTION,OPHTHALMIC,OTC MONOGRAPH FINAL,25,mg
INSULIN-LIKE GROWTH FACTOR-2,INSULIN-LIKE GROWTH FACTOR-2,HUCORD HSCM-100 Ampoule,Hucord Co. Ltd.,HUMAN OTC DRUG,LIQUID,TOPICAL,UNAPPROVED DRUG OTHER,0.0000633,g
METFORMIN HYDROCHLORIDE,Metformin Hydrochloride,DM2,Hudson Scientific LLC,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,ANDA,None,None
CYCLOBENZAPRINE,Cyclobenzaprine,CycloTENS Starter Pak,Hudson Scientific LLC,HUMAN PRESCRIPTION DRUG,KIT,Follow Instructions on Pack,ANDA,None,None
GLYCERIN,GLYCERIN,WELLAGE WRINKLE REDUCED VIALS,HUGEL PHARMA CO.LTD,HUMAN OTC DRUG,CONCENTRATE,TOPICAL,OTC MONOGRAPH FINAL,7,g
GLYCERIN,GLYCERIN,WELLAGE 4D Gold Essence,HUGEL PHARMA CO.LTD,HUMAN OTC DRUG,EXTRACT,TOPICAL,OTC MONOGRAPH FINAL,13.226,g
MEADOWFOAM SEED OIL,Simmondsia Chinensis (Jojoba) Seed Oil,WELLAGE Deep Layer Silky Facial Oil,HUGEL PHARMA CO.LTD,HUMAN OTC DRUG,OIL,TOPICAL,UNAPPROVED DRUG OTHER,6,g
HYALURONATE SODIUM,Sodium Hyaluronate,WELLAGE FAMILY MASK SMALL,HUGEL PHARMA CO.LTD,HUMAN OTC DRUG,PATCH,TOPICAL,UNAPPROVED DRUG OTHER,0.056,g
MENTHOL,MENTHOL,PHYTO THERAPY,Humajor Co. Ltd.,HUMAN OTC DRUG,SHAMPOO,TOPICAL,UNAPPROVED DRUG OTHER,0.1,g
WITCH HAZEL,WITCH HAZEL,MIRAE SKIN,HUMAN AND NATURE CO. LTD.,HUMAN OTC DRUG,SOAP,TOPICAL,OTC MONOGRAPH FINAL,0.15,g
RAXIBACUMAB,raxibacumab,Raxibacumab,Human Genome Sciences Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,BLA,50,mg
BELIMUMAB,belimumab,BENLYSTA,Human Genome Sciences Inc.,HUMAN PRESCRIPTION DRUG,INJECTION,INTRAVENOUS,BLA,120,mg
DIMETHICONE 410,Simethicone 180 mg,Gas Relief Ultra Strength,Humanwell PuraCap Pharmaceutical (Wuhan) Ltd.,HUMAN OTC DRUG,CAPSULE,ORAL,OTC MONOGRAPH FINAL,180,mg
METHYL SALICYLATE,Methyl Salicylate,Humco Wintergreen Oil,Humco Holding Grou Inc.,HUMAN OTC DRUG,LIQUID,TOPICAL,OTC MONOGRAPH NOT FINAL,980,mg
DICLOFENAC SODIUM,diclofenac sodium,Diclofenac Sodium 3 Percent,Humco Holding Group Inc,HUMAN PRESCRIPTION DRUG,CREAM,TOPICAL,UNAPPROVED DRUG OTHER,300,mg
CASTOR OIL,Castor Oil,Humco Castor Oil,Humco holding Group Inc,HUMAN OTC DRUG,LIQUID,ORAL,OTC MONOGRAPH NOT FINAL,1,mg
SENNOSIDES A AND B,Senna Leaves,Humco Senna Leaves,Humco Holding Group Inc.,HUMAN OTC DRUG,EXTRACT,ORAL,OTC MONOGRAPH NOT FINAL,1000,mg
ALUMINUM ACETATE,Aluminum Acetate,Humco Aluminum Acetate (Burrow),Humco Holding Group Inc.,HUMAN OTC DRUG,LIQUID,TOPICAL,OTC MONOGRAPH FINAL,530,mg
AMMONIA,Ammonia 2%,Humco Aromatic Ammonia Spirit,Humco Holding Group Inc.,HUMAN OTC DRUG,LIQUID,TOPICAL,UNAPPROVED DRUG OTHER,20,mg
BENZOIN RESIN,Benzoin Resin,Benzoin Compound Tincture,Humco Holding Group Inc.,HUMAN OTC DRUG,LIQUID,TOPICAL,OTC MONOGRAPH NOT FINAL,1000,mg
CAMPHOR (NATURAL),Camphor 10%,HUMCO Camphor Spirit,Humco Holding Group Inc.,HUMAN OTC DRUG,LIQUID,TOPICAL,OTC MONOGRAPH NOT FINAL,100,mg
GENTIAN VIOLET,Gentian Violet 1%,Humco Gentian Violet 1%,Humco holding Group Inc.,HUMAN OTC DRUG,LIQUID,TOPICAL,OTC MONOGRAPH NOT FINAL,10,mg
POVIDONE-IODINE,Povidone Iodine 10%,Humco Povidone Iodine,Humco Holding Group Inc.,HUMAN OTC DRUG,LIQUID,TOPICAL,OTC MONOGRAPH NOT FINAL,100,mg
TURPENTINE,Turpentine,Humco Turpentine Oil Rectified,Humco Holding Group Inc.,HUMAN OTC DRUG,LIQUID,TOPICAL,OTC MONOGRAPH NOT FINAL,1000,mg
ZINC OXIDE,Calamine 8% and Zinc Oxide 8%,Humco Calamine,Humco holding Group Inc.,HUMAN OTC DRUG,LOTION,TOPICAL,OTC MONOGRAPH FINAL,160,mg
CALCIUM CARBONATE,Calcium Carbonate,Calcium Carbonate,Humco Holding Group Inc.,HUMAN OTC DRUG,POWDER,ORAL,OTC MONOGRAPH FINAL,1,g
SENNOSIDES A AND B,Senna Powder,Humco Senna Powder,Humco Holding Group Inc.,HUMAN OTC DRUG,POWDER,ORAL,OTC MONOGRAPH NOT FINAL,1000,mg
SODIUM BICARBONATE,Sodium Bicarbonate,Humco Sodium Bicarbonate,Humco Holding Group Inc.,HUMAN OTC DRUG,POWDER,ORAL,OTC MONOGRAPH FINAL,1000,mg
MAGNESIUM SULFATE HEPTAHYDRATE,Magnesium Sulfate,Humco Epson Salt,humco Holding Group Inc.,HUMAN OTC DRUG,POWDER,ORAL,OTC MONOGRAPH NOT FINAL,1000,mg
MAGNESIUM CARBONATE,Magnesium Carbonate,Humco Dewees Carminative,Humco Holding Group inc.,HUMAN OTC DRUG,SUSPENSION,ORAL,OTC MONOGRAPH FINAL,50,mg
ACTIVATED CHARCOAL,Activated Charcoal,Humco Charcoal Activated,Humco Holding Group. Inc.,HUMAN OTC DRUG,POWDER,ORAL,UNAPPROVED DRUG OTHER,1000,mg
MATRICARIA RECUTITA,matricaria recutita,Humphreys Baby Teething Relief Cherry Swift Strips,Humphreys Pharmacal Incorporated,HUMAN OTC DRUG,FILM,ORAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
ALCOHOL,ALCOHOL,Humphreys Alcoholado Maravilla,Humphreys Pharmacal Incorporated,HUMAN OTC DRUG,LIQUID,TOPICAL,OTC MONOGRAPH NOT FINAL,70,mL
MENTHOL,menthol,Humphreys Bendito Alcoholado,Humphreys Pharmacal Incorporated,HUMAN OTC DRUG,LIQUID,TOPICAL,OTC MONOGRAPH NOT FINAL,12.5,mg
LIDOCAINE,Lidocaine,Hush Anesthetic,HUSH Anesthetic,HUMAN OTC DRUG,SOAP,TOPICAL,OTC MONOGRAPH NOT FINAL,40,mg
ISOPROPYL ALCOHOL,Isopropyl Alcohol,Alcohol,Hydrox Laboratories,HUMAN OTC DRUG,GEL,TOPICAL,OTC MONOGRAPH NOT FINAL,62,mL
ALUMINUM CHLOROHYDRATE,ALUMINUM CHLOROHYDRATE,Roll On Anti Perspirant,Hydrox Laboratories,HUMAN OTC DRUG,SOLUTION,TOPICAL,OTC MONOGRAPH FINAL,10,mg
ALUMINUM CHLOROHYDRATE,ALUMINUM CHLOROHYDRATE,Anti-Perspirant Deodorant,Hydrox Laboratories,HUMAN OTC DRUG,SPRAY,TOPICAL,OTC MONOGRAPH NOT FINAL,13,mg
BRYONIA ALBA ROOT,BRYONIA ALBA ROOT,4 Kids Cold n Mucus Day and Night Value Pack,Hyland's,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,UNAPPROVED HOMEOPATHIC,None,None
EUPATORIUM PERFOLIATUM FLOWERING TOP,eupatorium perfoliatum flowering top,Baby Tiny Cold Day and Night Value Pack,Hyland's,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,UNAPPROVED HOMEOPATHIC,None,None
BRYONIA ALBA ROOT,bryonia alba root,Baby Mucus Cold Relief Day and Night Value Pack,Hyland's,HUMAN OTC DRUG,KIT,Follow Instructions on Pack,UNAPPROVED HOMEOPATHIC,None,None
ANAS PLATYRHYNCHOS FEATHER,ANAS PLATYRHYNCHOS FEATHER,4 Kids Complete Cold and Flu,Hyland's,HUMAN OTC DRUG,LIQUID,ORAL,UNAPPROVED HOMEOPATHIC,200,[hp_C]
BELLADONNA LEAF,BELLADONNA LEAF,EARACHE DROPS,Hyland's,HUMAN OTC DRUG,LIQUID,AURICULAR (OTIC),UNAPPROVED HOMEOPATHIC,30,[hp_C]
APIS MELLIFERA,APIS MELLIFERA,Bug Bite,Hyland's,HUMAN OTC DRUG,OINTMENT,TOPICAL,UNAPPROVED HOMEOPATHIC,3,[hp_X]
ARNICA MONTANA ROOT,ARNICA MONTANA ROOT,BUMPS N BRUISES,Hyland's,HUMAN OTC DRUG,OINTMENT,TOPICAL,UNAPPROVED HOMEOPATHIC,1,[hp_X]
ACONITUM NAPELLUS ROOT,ACONITUM NAPELLUS ROOT,Defend Severe Cold and Flu,Hyland's,HUMAN OTC DRUG,POWDER,ORAL,UNAPPROVED HOMEOPATHIC,6,[hp_X]
